Raiden,303,8854
Raiden,29342,84182
Arsenal Calcabrina,96480,155611
Arsenal Viking,183677,329864
Arsenal Magus,357081,410136
Hidden Trap,449274,450435
Arsenal Calcabrina,475436,602759
Hidden Trap,613535,614202
Hidden Trap,700033,700699
Arsenal Viking,854854,947091
Hidden Trap,995337,996358
Arsenal Tome,1039044,1104308
Arsenal Magus,1122134,1126231
Arsenal Magus,1263696,1324426
Arsenal Magus,1537552,1603432
Arsenal Magus,1662430,1663989
Absolute Virtue,1862998,2097235
Arsenal Magus,2513007,2558821
Proto Ozma,2846385,3247122
