Soulless Researcher,45864759,45865290
Laboratory Lion,45934500,45940330
Ovni,45961493,46112843
Thunderstorm Sprite,46150534,46184168
Unknown,46267547,46267547
Thunderstorm Sprite,46449270,46474273
Arsenal Demon Wall,46577396,46587377
Arsenal Demon Wall,46612011,46783468
Owain,47009179,47199931
Arsenal Geshunpest,47232895,47266315
Arsenal Calcabrina,47282982,47331985
Arsenal Magus,47342993,47395249
Raiden,47592706,47654665
Raiden,47666650,47777991
Arsenal Calcabrina,47793488,47885976
Arsenal Sprite,47913689,48005518
Arsenal Viking,48016613,48063024
Arsenal Skatene,48080714,48122368
Arsenal Vodoriga,48136185,48200587
Hidden Trap,48222491,48223515
Arsenal Brina,48239423,48269847
Arsenal Calcabrina,48305937,48458971
Unknown,48679101,48679723
Hidden Trap,48753480,48754103
Unknown,48766312,48766935
Arsenal Viking,48845974,48980118
Arsenal Tome,49057869,49111809
Arsenal Bibliotaph,49127633,49143005
Arsenal Centaur,49153118,49164482
Unknown,49226434,49227058
Arsenal Magus,49269888,49325801
Hidden Trap,49438329,49438953
Arsenal Magus,49633527,49719363
Hidden Trap,49742458,49743081
Absolute Virtue,49874076,50237449
Arsenal Strix,50361871,50397955
Proto Ozma,51094684,51622192
