Job,Name,DPS,Total,Kill Time,Killed,Report
RedMage,Emma Neotoma,2812.83,1022107,363,Yes,Vkd8CX12HRxnMBZL
Ninja,Cecilia La'vanhart,1733.02,629734,363,Yes,Vkd8CX12HRxnMBZL
Red Mage,Stinky Lizard,1680.52,610654,363,Yes,Vkd8CX12HRxnMBZL
Samurai,Emet- Sulk,1638.19,595273,363,Yes,Vkd8CX12HRxnMBZL
Red Mage,Aki Black,1561.7,567479,363,Yes,Vkd8CX12HRxnMBZL
Red Mage,Altani Starshaper,1525.43,554299,363,Yes,Vkd8CX12HRxnMBZL
Machinist,Majin Buub,1524.28,553883,363,Yes,Vkd8CX12HRxnMBZL
Black Mage,Grimcheeks Jaegerjack,1513.48,549956,363,Yes,Vkd8CX12HRxnMBZL
Gunbreaker,Ba Dad,1460.33,530646,363,Yes,Vkd8CX12HRxnMBZL
Machinist,Xeth Aru,1300.51,472571,363,Yes,Vkd8CX12HRxnMBZL
Bard,Wind-Up Tokirius,1293.61,470063,363,Yes,Vkd8CX12HRxnMBZL
Dancer,Kiyomi Kirei,1279.17,464815,363,Yes,Vkd8CX12HRxnMBZL
Machinist,V'ghanu Tia,1278.61,464614,363,Yes,Vkd8CX12HRxnMBZL
Scholar,Aiso J'fule,1275.02,463308,363,Yes,Vkd8CX12HRxnMBZL
Red Mage,Little Sword,1239.79,450505,363,Yes,Vkd8CX12HRxnMBZL
Red Mage,Arima Saeki,1183.49,430050,363,Yes,Vkd8CX12HRxnMBZL
White Mage,Polar Frozenclaws,1137.14,413206,363,Yes,Vkd8CX12HRxnMBZL
White Mage,Cyrex Laq'ren,1052.88,382587,363,Yes,Vkd8CX12HRxnMBZL
White Mage,Woo Wee,929.67,337817,363,Yes,Vkd8CX12HRxnMBZL
Machinist,Rykon Strife,865.246,314407,363,Yes,Vkd8CX12HRxnMBZL
Gunbreaker,Margulis Nakata,856.065,311071,363,Yes,Vkd8CX12HRxnMBZL
Dancer,Varulae Miscarand,850.157,308924,363,Yes,Vkd8CX12HRxnMBZL
Warrior,Mina Velkh,847.493,307956,363,Yes,Vkd8CX12HRxnMBZL
Paladin,Lycan Wolf,760.926,276500,363,Yes,Vkd8CX12HRxnMBZL
Red Mage,Elene Remedy,708.374,257404,363,Yes,Vkd8CX12HRxnMBZL
Red Mage,Riku Morningstar,672.232,244271,363,Yes,Vkd8CX12HRxnMBZL
White Mage,Bear Lol,643.201,233722,363,Yes,Vkd8CX12HRxnMBZL
Red Mage,Impulse Lalafell,559.849,203434,363,Yes,Vkd8CX12HRxnMBZL
Scholar,Hanakoizumi An,536.05,194786,363,Yes,Vkd8CX12HRxnMBZL
Astrologian,Kira Saeki,529.349,192351,363,Yes,Vkd8CX12HRxnMBZL
Paladin,Purrrrfect Buns,396.565,144101,363,Yes,Vkd8CX12HRxnMBZL
Red Mage,Captain Catnip,341.528,124102,363,Yes,Vkd8CX12HRxnMBZL
Red Mage,Black Carbonite,334.879,121686,363,Yes,Vkd8CX12HRxnMBZL
White Mage,Death Morningstar,322.55,117206,363,Yes,Vkd8CX12HRxnMBZL
Astrologian,White Wulf,232.043,84318,363,Yes,Vkd8CX12HRxnMBZL
Red Mage,Var Soulhound,204.666,74370,363,Yes,Vkd8CX12HRxnMBZL
Machinist,Bakuretsu Onna,185.768,67503,363,Yes,Vkd8CX12HRxnMBZL
