WhiteMage,Polar Frozenclaws,6498.92,2379230,366,Yes,rGw8T2FWX641tfhk
WhiteMage,Majin Buub,6414.71,2348400,366,Yes,rGw8T2FWX641tfhk
WhiteMage,Bear Lol,5217.28,1910026,366,Yes,rGw8T2FWX641tfhk
WhiteMage,Kepopo Keepo,5059.95,1852429,366,Yes,rGw8T2FWX641tfhk
WhiteMage,Jessi Lyn,4738.46,1734733,366,Yes,rGw8T2FWX641tfhk
Astrologian,Aiso J'fule,4408.92,1614089,366,Yes,rGw8T2FWX641tfhk
Astrologian,White Wulf,2777.2,1016721,366,Yes,rGw8T2FWX641tfhk
Warrior,Putoni Kesutoni,1902.91,696648,366,Yes,rGw8T2FWX641tfhk
Scholar,Hin Atafan,1762.6,645280,366,Yes,rGw8T2FWX641tfhk
Astrologian,Dash Ehhh,1614.42,591034,366,Yes,rGw8T2FWX641tfhk
WhiteMage,Evelyn Fateburn,1523.36,557697,366,Yes,rGw8T2FWX641tfhk
Warrior,Aggamarr Atroc,1098.41,402122,366,Yes,rGw8T2FWX641tfhk
Warrior,Octavia Hardwoode,828.042,303143,366,Yes,rGw8T2FWX641tfhk
Gunbreaker,Margulis Nakata,752.297,275413,366,Yes,rGw8T2FWX641tfhk
Gunbreaker,Kiyomi Kirei,670.376,245422,366,Yes,rGw8T2FWX641tfhk
Samurai,Somebody Else,374.112,136961,366,Yes,rGw8T2FWX641tfhk
Gunbreaker,Freyja Veleda,351.468,128671,366,Yes,rGw8T2FWX641tfhk
WhiteMage,Noxia Nocturna,340.61,124696,366,Yes,rGw8T2FWX641tfhk
Gunbreaker,Margulis Nakata,302.776,110845,366,Yes,rGw8T2FWX641tfhk
Monk,Random Striker,290.973,106524,366,Yes,rGw8T2FWX641tfhk
Paladin,Lycan Wolf,270.538,99043,366,Yes,rGw8T2FWX641tfhk
Warrior,Altani Starshaper,262.177,95982,366,Yes,rGw8T2FWX641tfhk
WhiteMage,Rytlockie Moonrunner,258.148,94507,366,Yes,rGw8T2FWX641tfhk
Dancer,Varulae Miscarand,218.609,80032,366,Yes,rGw8T2FWX641tfhk
Samurai,Grimcheeks Jaegerjack,200.66,73461,366,Yes,rGw8T2FWX641tfhk
Monk,Bakuretsu Onna,189.682,69442,366,Yes,rGw8T2FWX641tfhk
Dragoon,Cyrex Laq'ren,163.643,59909,366,Yes,rGw8T2FWX641tfhk
Samurai,Cecilia La'vanhart,153.648,56250,366,Yes,rGw8T2FWX641tfhk
Monk,Neela Mitz'paw,138.608,50744,366,Yes,rGw8T2FWX641tfhk
Machinist,Rykon Strife,69.4353,25420,366,Yes,rGw8T2FWX641tfhk
Ninja,Lord Sithari,52.1967,19109,366,Yes,rGw8T2FWX641tfhk
Ninja,Palurien Meoi,38.214,13990,366,Yes,rGw8T2FWX641tfhk
Bard,Fafa Leff,37.2279,13629,366,Yes,rGw8T2FWX641tfhk
RedMage,Nat Yurs,33.0159,12087,366,Yes,rGw8T2FWX641tfhk
RedMage,Jaiyo Bot,31.2869,11454,366,Yes,rGw8T2FWX641tfhk
RedMage,Elene Remedy,25.1683,9214,366,Yes,rGw8T2FWX641tfhk
Summoner,Noelette La'vanhart,19.3392,7080,366,Yes,rGw8T2FWX641tfhk
Summoner,Aaliyah Infearis,16.0969,5893,366,Yes,rGw8T2FWX641tfhk
LimitBreak,Ground Effect,14.6874,5377,366,Yes,rGw8T2FWX641tfhk
RedMage,Woo Wee,14.5399,5323,366,Yes,rGw8T2FWX641tfhk
Summoner,Rylai Cressfall,12.8901,4719,366,Yes,rGw8T2FWX641tfhk
RedMage,Impulse Lalafell,7.41609,2715,366,Yes,rGw8T2FWX641tfhk
